Game ID,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
115,2009-11-29,Ath Madrid,Espanol,4,0,1,0,17,5,6,1,20,17,8,4,2,2,0,1
116,2009-11-29,Barcelona,Real Madrid,1,0,0,0,9,16,4,2,17,25,6,6,0,4,1,1
117,2009-11-29,Getafe,Xerez,5,1,2,1,16,7,6,2,8,17,7,3,0,3,0,1
118,2009-11-29,Santander,La Coruna,0,1,0,0,13,11,3,6,18,12,5,3,3,3,0,0
119,2009-11-29,Valladolid,Tenerife,3,3,2,0,16,13,8,5,14,16,8,8,2,2,0,1
120,2009-11-29,Zaragoza,Osasuna,0,1,0,1,21,9,2,4,21,18,6,7,6,2,0,0
121,2009-12-02,Xerez,Barcelona,0,2,0,0,7,14,4,3,13,16,3,9,1,0,0,0
122,2009-12-05,La Coruna,Barcelona,1,3,1,1,4,19,1,9,9,13,1,9,1,2,0,0
123,2009-12-05,Real Madrid,Almeria,4,2,1,0,37,9,14,4,15,16,8,3,0,4,1,0
124,2009-12-05,Sevilla,Valladolid,1,1,1,1,17,9,4,2,16,22,4,4,4,4,0,1
125,2009-12-05,Xerez,Ath Madrid,0,2,0,1,11,9,4,6,17,18,8,7,1,1,1,1
126,2009-12-06,Ath Bilbao,Valencia,1,2,0,0,9,8,4,3,18,18,2,5,2,4,1,0
127,2009-12-06,Espanol,Santander,0,4,0,0,10,15,1,5,19,21,4,7,2,4,0,0
128,2009-12-06,Malaga,Osasuna,1,1,0,0,16,7,2,3,23,18,6,5,2,2,0,0
129,2009-12-06,Mallorca,Zaragoza,4,1,1,0,14,9,7,5,16,14,4,7,3,3,0,0
130,2009-12-06,Tenerife,Sp Gijon,2,1,0,1,13,4,6,1,9,10,6,3,1,3,0,0
131,2009-12-06,Villarreal,Getafe,3,2,1,1,11,5,6,3,17,19,7,0,3,4,2,0
132,2009-12-12,Barcelona,Espanol,1,0,1,0,15,7,3,2,15,20,10,2,3,3,0,0
133,2009-12-12,Valencia,Real Madrid,2,3,0,0,12,14,5,6,19,15,7,2,4,2,0,0
134,2009-12-12,Zaragoza,Ath Bilbao,1,2,0,0,15,9,2,4,21,18,6,2,3,6,0,0
135,2009-12-13,Almeria,La Coruna,1,1,0,0,15,17,4,4,17,12,8,6,1,0,0,0
136,2009-12-13,Ath Madrid,Villarreal,1,2,1,0,8,22,1,11,22,4,5,3,2,0,0,0
137,2009-12-13,Getafe,Tenerife,2,1,1,0,13,11,5,1,18,13,10,1,1,1,0,0
138,2009-12-13,Osasuna,Mallorca,0,1,0,0,8,10,2,2,18,22,5,6,2,3,0,0
139,2009-12-13,Santander,Xerez,3,2,1,1,14,14,7,4,20,11,6,6,3,3,0,0
140,2009-12-13,Sp Gijon,Sevilla,0,1,0,1,12,8,2,2,25,17,4,7,5,3,0,0
141,2009-12-13,Valladolid,Malaga,1,1,0,1,22,10,4,1,17,21,7,4,3,3,0,0
142,2009-12-19,Ath Bilbao,Osasuna,2,0,2,0,11,9,3,4,22,12,2,1,3,4,0,0
143,2009-12-19,Real Madrid,Zaragoza,6,0,4,0,20,6,9,2,18,18,3,4,2,3,0,0
144,2009-12-19,Sevilla,Getafe,1,2,0,2,26,7,5,5,14,16,8,1,1,5,0,0
145,2009-12-20,Espanol,Almeria,2,0,1,0,18,9,4,3,27,18,11,8,3,3,0,0
146,2009-12-20,La Coruna,Valencia,0,0,0,0,14,15,3,3,9,16,2,4,1,3,0,0
147,2009-12-20,Malaga,Mallorca,2,1,1,0,8,14,4,5,16,14,3,5,2,4,0,0
148,2009-12-20,Tenerife,Ath Madrid,1,1,1,1,22,9,10,1,12,16,2,4,1,5,0,0
149,2009-12-20,Valladolid,Sp Gijon,2,1,1,1,17,8,4,3,12,19,2,5,3,2,0,0
150,2009-12-20,Villarreal,Santander,2,0,0,0,20,4,8,0,14,23,10,5,1,4,0,0
151,2010-01-02,Ath Madrid,Sevilla,2,1,0,1,12,7,3,1,21,16,5,6,3,3,0,1
152,2010-01-02,Barcelona,Villarreal,1,1,1,0,12,8,3,2,22,15,6,7,2,4,0,0
153,2010-01-02,Valencia,Espanol,1,0,0,0,17,11,8,3,18,18,6,0,3,4,0,0
154,2010-01-03,Almeria,Xerez,1,0,0,0,12,10,4,2,18,13,7,1,3,5,0,0
155,2010-01-03,Getafe,Valladolid,1,0,0,0,18,10,7,3,16,21,8,3,1,3,0,0
156,2010-01-03,Mallorca,Ath Bilbao,2,0,0,0,17,4,6,3,13,24,4,4,5,2,0,0
157,2010-01-03,Osasuna,Real Madrid,0,0,0,0,6,19,2,4,11,14,6,8,3,3,0,0
158,2010-01-03,Santander,Tenerife,2,0,0,0,8,9,2,3,23,15,3,7,1,2,0,0
159,2010-01-03,Sp Gijon,Malaga,2,2,1,1,18,7,7,3,11,16,7,0,3,3,0,0
160,2010-01-03,Zaragoza,La Coruna,0,0,0,0,17,9,4,3,21,19,3,4,4,2,0,0
161,2010-01-09,Sevilla,Santander,1,2,0,2,20,8,7,5,18,23,14,0,1,2,0,0
162,2010-01-09,Valladolid,Ath Madrid,0,4,0,2,16,8,6,6,19,20,5,2,5,1,0,0
163,2010-01-09,Villarreal,Almeria,1,1,1,0,9,8,3,3,18,22,4,3,2,2,1,0
164,2010-01-10,Espanol,Zaragoza,2,1,1,1,10,10,6,3,25,24,3,5,4,1,0,0
165,2010-01-10,La Coruna,Osasuna,1,0,0,0,8,10,1,1,19,16,2,3,3,0,0,1
166,2010-01-10,Malaga,Ath Bilbao,1,1,0,0,6,13,2,6,19,16,3,6,3,3,0,0
167,2010-01-10,Real Madrid,Mallorca,2,0,1,0,16,6,7,1,8,14,6,4,0,3,0,0
168,2010-01-10,Sp Gijon,Getafe,1,0,1,0,18,14,8,4,22,10,4,5,2,4,0,0
169,2010-01-10,Tenerife,Barcelona,0,5,0,3,13,15,3,5,20,11,3,1,3,2,0,0
170,2010-01-10,Xerez,Valencia,1,3,1,2,10,13,4,6,12,13,7,4,3,3,0,0
171,2010-01-16,Ath Bilbao,Real Madrid,1,0,1,0,11,31,3,10,20,15,4,9,3,4,1,0
172,2010-01-16,Barcelona,Sevilla,4,0,0,0,27,4,12,0,11,13,11,2,2,4,0,0
173,2010-01-16,Osasuna,Espanol,2,0,2,0,10,16,5,2,18,17,11,3,2,1,1,1
174,2010-01-17,Almeria,Tenerife,1,1,0,1,16,12,4,5,16,27,12,4,0,7,1,0
175,2010-01-17,Ath Madrid,Sp Gijon,3,2,1,1,15,17,7,8,11,18,2,5,4,2,0,0
176,2010-01-17,Malaga,Getafe,1,0,0,0,19,13,4,4,16,19,8,3,5,6,0,1
177,2010-01-17,Mallorca,La Coruna,2,0,0,0,19,8,8,1,15,15,7,4,2,4,0,0
178,2010-01-17,Santander,Valladolid,1,1,0,1,15,5,4,2,15,21,6,3,1,2,0,0
179,2010-01-17,Valencia,Villarreal,4,1,2,0,20,5,11,2,18,14,7,2,5,0,0,1
180,2010-01-17,Zaragoza,Xerez,0,0,0,0,21,5,5,1,19,15,4,2,1,3,0,1
181,2010-01-23,La Coruna,Ath Bilbao,3,1,0,0,12,16,4,4,9,17,2,6,2,3,0,0
182,2010-01-23,Sevilla,Almeria,1,0,1,0,10,9,3,3,9,11,10,4,2,3,0,0
183,2010-01-23,Valladolid,Barcelona,0,3,0,2,11,14,5,8,13,17,5,5,2,2,0,0
184,2010-01-24,Espanol,Mallorca,1,1,0,0,15,11,2,4,18,19,5,3,3,4,0,0
185,2010-01-24,Getafe,Ath Madrid,1,0,1,0,17,11,5,3,16,13,5,2,1,3,0,1
186,2010-01-24,Real Madrid,Malaga,2,0,2,0,16,6,6,1,16,24,6,6,0,4,1,0
187,2010-01-24,Sp Gijon,Santander,0,1,0,1,14,16,5,1,8,15,10,4,0,0,0,1
188,2010-01-24,Tenerife,Valencia,0,0,0,0,15,7,7,3,16,13,12,10,0,2,0,0
189,2010-01-24,Villarreal,Zaragoza,4,2,3,0,9,15,6,5,22,19,4,3,1,4,0,0
190,2010-01-24,Xerez,Osasuna,1,2,1,1,7,15,2,7,14,15,2,3,1,1,0,0
191,2010-01-30,Espanol,Ath Bilbao,1,0,0,0,12,8,4,2,16,10,10,6,5,2,0,0
192,2010-01-30,La Coruna,Real Madrid,1,3,0,2,11,17,2,8,13,7,6,4,3,0,0,0
193,2010-01-30,Sp Gijon,Barcelona,0,1,0,1,5,22,2,5,21,9,2,10,6,3,0,0
194,2010-01-31,Ath Madrid,Malaga,0,2,0,1,11,9,4,4,17,24,2,5,3,3,0,0
195,2010-01-31,Getafe,Santander,0,0,0,0,19,7,2,3,14,16,16,0,1,0,0,1
196,2010-01-31,Sevilla,Valencia,2,1,1,0,15,14,4,8,14,20,6,4,4,4,0,0
197,2010-01-31,Tenerife,Zaragoza,1,3,0,0,17,9,6,5,14,24,7,3,5,4,0,0
198,2010-01-31,Valladolid,Almeria,1,1,0,1,12,12,2,4,18,12,6,4,4,2,1,0
199,2010-01-31,Villarreal,Osasuna,0,2,0,1,12,10,3,4,12,13,4,5,3,1,0,0
